word,count,sentiment
great,5731,Positive
small,4152,Positive
perfect,3555,Positive
little,3237,Positive
soft,3187,Positive
comfortable,2932,Positive
large,2795,Positive
nice,2783,Positive
flattering,2771,Positive
cute,2664,Positive
beautiful,2636,Positive
good,2011,Positive
long,1999,Positive
short,1979,Positive
big,1749,Positive
other,1717,Positive
more,1597,Positive
TRUE,1593,Positive
petite,1540,Positive
black,1320,Positive
fit,1164,Positive
tight,1133,Positive
loose,1123,Positive
pretty,1104,Positive
high,1083,Positive
white,1067,Positive
many,1018,Positive
light,998,Positive
regular,975,Positive
lovely,961,Positive
gorgeous,947,Positive
casual,899,Positive
right,820,Positive
thin,818,Positive
blue,790,Positive
top,780,Positive
usual,777,Positive
only,769,Positive
much,769,Positive
sure,763,Positive
different,751,Positive
happy,735,Positive
easy,717,Positive
warm,707,Positive
low,676,Positive
unique,673,Positive
well,637,Positive
tall,627,Positive
thick,621,Positive
glad,599,Positive
wide,590,Positive
extra,571,Positive
full,565,Positive
heavy,557,Positive
dark,541,Positive
boxy,537,Positive
sheer,527,Positive
skinny,519,Positive
worth,504,Positive
first,495,Positive
small,561,Negative
large,373,Negative
short,313,Negative
big,282,Negative
flattering,230,Negative
thin,228,Negative
other,212,Negative
disappointed,193,Negative
huge,192,Negative
tight,185,Negative
bad,177,Negative
much,166,Negative
cheap,161,Negative
soft,160,Negative
high,156,Negative
long,153,Negative
little,150,Negative
wide,145,Negative
petite,134,Negative
excited,134,Negative
boxy,133,Negative
unflattering,129,Negative
pretty,122,Negative
loose,120,Negative
top,117,Negative
more,115,Negative
white,111,Negative
first,110,Negative
perfect,108,Negative
same,106,Negative
fit,103,Negative
tall,103,Negative
sure,103,Negative
black,91,Negative
heavy,88,Negative
low,84,Negative
right,84,Negative
blue,84,Negative
extra,83,Negative
well,82,Negative
comfortable,81,Negative
thick,80,Negative
worth,80,Negative
sad,78,Negative
TRUE,77,Negative
gorgeous,75,Negative
weird,74,Negative
poor,73,Negative
odd,71,Negative
usual,71,Negative
different,69,Negative
lovely,69,Negative
sheer,68,Negative
light,68,Negative
regular,65,Negative
